key,IPA,Consonantal?,Voiced?,Sibilant?,Lateral?,Place of articulation,"Place
value",Manner of articulation,"Sonority
value"
111,z (d͡z),+,+,+,−,D,1,F (P͡F),2.333333333
112,ɡ~j,+,+,−,−,K~Ɉ,-2.5,P~W,2.166666667
113,n~ɲ,+,+,−,−,D~Ɉ,-0.625,N,1.5
114,ɸ~f,+,−,−,−,B,2.75,F,2
115,f (h),+,−,−,−,B (H),-0.166666667,F,2
116,h~∅,−,−,−,−,H,-6,F~∅,1
117,b~v,+,+,−,−,B,2.75,P,3
118,s (s̠),+,−,+,−,D,0.875,F,2
119,z (z̠),+,+,+,−,D,0.875,F,2
120,s (s̪),+,−,+,−,D,1.083333333,F,2
121,z (z̪),+,+,+,−,D,1.083333333,F,2
122,s̠ (s),+,−,+,−,D,0.625,F,2
123,ʁ (r),+,+,−,−,Q (D),2.416666667,F (L),1.75
124,x~h,+,−,−,−,K~H,-4.5,F,2
125,rː,+,+,−,−,D,0.75,LL,1.5625
126,r̠ː,+,+,−,−,Ɉ,-0.5,LL,1.5625
127,r (ʀ),+,+,−,−,D (Q),-0.833333333,L,1.25
128,ʐː~rː,+,+,+/−,−,Ɉ~D,-0.25,FF~LL,2.03125
129,ȴ[ʎ̟] (ʈ͡ʂ),+,+ (−),− (+),+ (−),Ɉ,-0.416666667,LW (P͡F),1.5
130,l (ȴ [ʎ̟]),+,+,−,+,D (Ɉ),0.5625,LW,0.75
131,l~ɰ,+,+,−,+/−,D~K,-1.125,LW~W,0.541666667
132,r (ʁ),+,+,−,−,D (Q),-0.833333333,L (F),1.5
133,l (ȴ~j),+,+,−,+ (−),D (Ɉ),0.166666667,LW (W),0.666666667
134,w~∅,+/−,+/−,−,−,BK,0,W~∅,0.166666667
135,ɡ~w,+,+,−,−,K~BK,-1.5,P~W,2.25
136,ɡ~∅,+/−,+/−,−,−,K,-3,P~∅,2
137,w~v,+,+,−,−,BK~B,1.25,W~F,1.5
138,v~∅,+/−,+/−,−,−,B,2.5,F~∅,1
139,l̪ʲ,+,+,−,+,Ɉ,-0.166666667,LW,0.75
140,ʟ,+,+,−,+,K,-3,LW,0.75
141,r̠,+,+,−,−,Ɉ,-0.5,L,1.25
142,ʁ (ʀ),+,+,−,−,Q,-4,F (L),1.75
143,ɾ (ʀ),+,+,−,−,D (Q),-0.833333333,L (F),1.333333333
144,ɽ~∅,+/−,+/−,−,−,Ɉ,-1.25,L~∅,0.5
145,t̪~ʈ,+,−,−,−,D~Ɉ,0.541666667,P,4
146,ɾ~ɽ,+,+,−,−,D~Ɉ,-0.25,L,1
147,d̪~ɖ,+,+,−,−,D~Ɉ,0.541666667,P,4
148,k~ȶ,+,−,−,−,K~Ɉ,-1.5,P,4
149,l~j,+,+,−,+/−,D~Ɉ,-0.625,LW~W,0.541666667
150,k~c,+,−,−,−,K~Ɉ,-2.5,P,4
151,j~∅,+/−,+/−,−,−,Ɉ,-2,W~∅,0.166666667
152,c~t̠͡ʃ,+,−,−/+,−,Ɉ,-1.25,P~P͡F,3.5
153,ɟ~d̠͡ʒ,+,+,−/+,−,Ɉ,-1.25,P~P͡F,3.5
154,ɡ~ɟ,+,+,−,−,K~Ɉ,-2.5,P,4
155,ȴ[ʎ̟]~j,+,+,−,+/−,Ɉ,-1,LW~W,0.541666667
156,ɟ~∅,+/−,+/−,−,−,Ɉ,-2,P~∅,2
